Sample	ST	gap	aroA	glk	dnaK	gyrB	trpE	cobQ	int_hyp	omp25	mismatches	uncertainty	depth	maxMAF
2013TE1501611_2013	43	12	2	3	2	1	5	3	2	10	0	-	9.21044444444	0
I-194_1965	8	3	2	3	2	1	5	3	2	8	0	-	9.16822222222	0
UK3-06_2006	8	3	2	3	2	1	5	3	2	8	0	-	9.20277777778	0
BB2_1957	8	3	2	3	2	1	5	3	2	8	0	-	9.214	0
C-567_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.23966666667	0
BwIM-IRQ-11_2014	8	3	2	3	2	1	5	3	2	8	0	-	9.18166666667	0
B15_2018	8	3	2	3	2	1	5	3	2	8	0	-	9.21366666667	0
2015TE1618111_2015	11	3	2	3	2	1	5	3	2	10	0	-	9.19966666667	0
2011TE1284911_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.189	0
VRI6530-11_2011	39	3	2	24	2	1	5	3	2	8	0	-	9.20277777778	0
BwIM-SYR-53_2015	8	3	2	3	2	1	5	3	2	8	0	-	9.18411111111	0
CIIMS-NV-5_2016	8	3	2	3	2	1	5	3	2	8	0	-	9.20266666667	0
2011TE1178211_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.23988888889	0
KU-RCF-03_2014	12*	3	2	3	2	1	5	2*	2	10	cobQ-2/2snp	-	9.20233333333	0
128_1986	8	3	2	3	2	1	5	3	2	8	0	-	9.21344444444	0
2011TE199511_2011	11	3	2	3	2	1	5	3	2	10	0	-	9.18555555556	0
