Gene	Length	Sample	MeanCoverage	Status	GC	CopyNumber	HeteroFrac	Match	COG	COGMembershipClass	FunctionalCategory	Name	Gene.y	FunctionalPathway	PMID	PDBID
ureE_1	732	Geridu	2.58090149034873	Core	0.5888	1.04079690766326	0	WP_004686385	COG0830	0	O	Urease accessory protein UreF	UreF			3SF5
ureE_2	489	Brancorsini	21.933998430333	Core	0.591	1.08052601442353	0	WP_002963435	COG2371	0	O	Urease accessory protein UreE	UreE			1EAR
ureE_2	489	Geridu	1.29782027061311	Core	0.591	0.523370353114219	0	WP_002963435	COG2371	0	O	Urease accessory protein UreE	UreE			1EAR
ureF	687	Brancorsini	17.575028259428	Core	0.6317	0.865791766095801	0	WP_004682815	COG0830	0	O	Urease accessory protein UreF	UreF			3SF5
ureG_1	639	Brancorsini	20.3572768210999	Core	0.5634	1.00285259242109	0	WP_002964473	COG0378	0	O	Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase	HypB		24338018;23899293	2HF8
ureG_1	639	Geridu	1.97314848056896	Core	0.5634	0.795709113507916	0	WP_002964473	COG0378	0	O	Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase	HypB		24338018;23899293	2HF8
ureG_2	627	Brancorsini	18.9058127648359	Core	0.571	0.931349684423012	0	WP_002963437	COG0378	0	O	Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase	HypB		24338018;23899293	2HF8
ureG_2	627	Geridu	3.04801944203664	Core	0.571	1.22917097829278	0	WP_002963437	COG0378	0	O	Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase	HypB		24338018;23899293	2HF8
virB10	1143	Brancorsini	20.4731399751054	Core	0.5853	1.00856031381141	0	WP_041594650	COG2948	3	U	Type IV secretory pathway, VirB10 component	VirB10			2BHV
virB11	1086	Brancorsini	22.0884055268566	Core	0.5866	1.08813251102902	0	WP_005972055	COG0630	0	NU	Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase ArlI/FlaI	VirB11		32416640	1G6O
virB11	1086	Geridu	2.67308890637928	Core	0.5866	1.07797321132649	0	WP_005972055	COG0630	0	NU	Type IV secretory pathway ATPase VirB11/Archaellum biosynthesis ATPase ArlI/FlaI	VirB11		32416640	1G6O
virB5	717	Brancorsini	24.9300868178328	Core	0.5607	1.22812114873013	0.00139470013947001	NA	NA	NA	NA	NA	NA	NA	NA	NA
virB5	717	Geridu	1.63777058272563	Core	0.5607	0.660461689195419	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
virB9	870	Brancorsini	23.4770141923582	Core	0.5759	1.15653899841408	0	WP_041594649	COG3504	0	U	Type IV secretory pathway, VirB9 components	VirB9			
virB9	870	Geridu	2.52141546970556	Core	0.5759	1.01680805471164	0	WP_041594649	COG3504	0	U	Type IV secretory pathway, VirB9 components	VirB9			
vjbR	780	Brancorsini	24.3739532983071	Core	0.5333	1.20072455994815	0	WP_002966460	COG2197	3	TK	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	CitB			1A04
vjbR	780	Geridu	3.10827789256712	Core	0.5333	1.25347132807646	0	WP_002966460	COG2197	3	TK	DNA-binding response regulator, NarL/FixJ family, contains REC and HTH domains	CitB			1A04
xth	840	Brancorsini	20.6955484674885	Core	0.5512	1.01951673667302	0	WP_004683693	COG0708	0	L	Exonuclease III	XthA			1AKO
xth	840	Geridu	2.95659226316403	Core	0.5512	1.19230125451493	0	WP_004683693	COG0708	0	L	Exonuclease III	XthA			1AKO
yut	1050	Brancorsini	15.9021520983823	Core	0.601	0.78338151989012	0	WP_002964475	COG4413	0	E	Urea transporter	Utp			
yut	1050	Geridu	2.10737350490451	Core	0.601	0.849837870758773	0	WP_002964475	COG4413	0	E	Urea transporter	Utp			
